"","STRUCTURE_NUMBER_008","YEAR_BUILT_027","COUNTY_CODE_003","DECK_COND_058","LAT_016","LONG_017","TOTAL_IMP_COST_096"
"1","00000000000F303",1932,51,"4",45585400,89560600,280
"2","00000000000F310",1948,115,"4",44543000,88544200,230
"3","00000000000F311",1979,115,"6",44563600,88554200,0
"4","00000000000F315",1977,3,"5",46360600,90390000,0
"5","00000000000F317",1980,3,"7",46371020,90421190,0
"6","00000000000F318",1980,3,"7",46365090,90414920,0
"7","00000000000F321",1884,115,"6",44551800,88562400,0
"8","00000000000F323",1999,3,"7",46262400,90350000,0
"9","00000000000F324",2006,3,"7",46290000,90373000,0
"10","00000000000F325",1996,3,"7",46282400,90364800,0
"11","00000000000F326",1996,51,"7",46014200,89574200,0
"12","00000000000F328",1981,3,"7",46345400,90474800,0
"13","00000000000F329",2000,7,"7",46502000,90494800,0
"14","00000000000F330",2003,115,"7",44551200,88533600,0
"15","00000000000F331",2004,51,"7",46025400,89590000,0
"16","00000000000F905",1977,78,"6",45052870,88333230,0
"17","00000000000F906",1977,78,"7",45034200,88313000,0
"18","00000000000F916",1985,78,"7",45034800,88404200,0
"19","00000000000F917",1981,78,"5",44585400,88493000,750
"20","00000000000F918",1988,78,"N",44590600,88530000,170
"21","00000000000F919",1996,78,"7",44532400,88392400,0
"22","00000000000F925",2005,78,"7",45045400,88380600,100
"23","00000000000F926",2005,78,"7",44563600,88431800,0
"24","00000000000F927",2005,78,"7",44510000,88461800,0
"25","00000000000F928",2006,78,"6",44525950,88380680,0
"26","00000000000F929",1960,78,"7",44532400,88394800,0
"27","00000000000F930",2005,78,"7",44563000,88582500,0
"28","00000000000F932",2007,78,"N",45062640,88525980,0
"29","00000000000F933",2008,78,"7",45060800,88495900,0
"30","00000000000F934",2007,78,"7",44593220,88424800,0
"31","000032530-00062",1951,57,"6",44150000,90105400,382
"32","000032530-00075",1993,57,"7",44050000,90112400,NA
"33","000032530-00079",1976,57,"8",44070780,90100540,NA
"34","000032530-00080",1976,57,"8",44070780,90085880,411
"35","000032530-00081",1977,57,"6",44115400,90122760,NA
"36","000032530-00123",1993,57,"7",44120660,90113000,NA
"37","000032578-00043",1994,121,"7",44030360,91310960,NA
"38","01000003316    ",2003,37,"7",46005301,88532504,NA
"39","090201000001000",1982,99,"6",45452833,90123769,NA
"40","090201000001001",1997,99,"8",45464991,90091872,NA
"41","090201000001002",1967,99,"6",45553306,90070372,NA
"42","090201000001003",1973,99,"6",45562832,90063906,NA
"43","090201000001004",1991,99,"7",45543931,90102046,NA
"44","090201000001005",1973,99,"7",45544284,90134098,NA
"45","090201000001006",1975,99,"7",45561608,90182088,NA
"46","090202000001007",1953,3,"6",46022184,90464512,NA
"47","090202000001011",1951,3,"5",45021248,90425904,NA
"48","090202000001012",1953,3,"5",45592724,90460732,NA
"49","090202000001017",1951,3,"7",45182052,90500528,NA
"50","090202000001018",1988,3,"7",46140528,90465988,NA
"51","090202000001019",1954,3,"7",46210504,90552604,NA
"52","090202000001021",1975,3,"7",46152634,90513708,NA
"53","090202000001024",1956,3,"6",46161222,90422567,NA
"54","090202000001025",2001,3,"8",46203726,90491909,NA
"55","090202000001027",1952,3,"7",46062304,90472004,NA
"56","090203000001028",1985,119,"6",45200462,0,NA
"57","090203000001029",1980,119,"6",45191200,90314800,NA
"58","090203000001030",1990,119,"7",45173876,90294135,NA
"59","090203000001032",1969,119,"6",45113006,90433216,NA
"60","090203000001033",1999,119,"7",45171308,90253300,NA
"61","090203000001035",1953,119,"6",45163878,90355586,NA
"62","090203000001036",1955,119,"7",45175492,90354754,NA
"63","090203000001054",1998,119,"N",0,0,NA
"64","090204000001009",1985,113,"7",45582712,90562604,NA
"65","090204000001013",1952,113,"6",46012147,90593048,NA
"66","090204000001014",1996,113,"7",46032808,90553263,NA
"67","090204000001015",1993,7,"7",46160504,90570852,NA
"68","090204000001016",1937,113,"7",45590276,90560204,NA
"69","090204000001020",1959,7,"7",46173978,90594818,NA
"70","090204000001022",1950,7,"6",46144506,90563804,NA
"71","090204000001023",1952,113,"7",46030209,90594081,NA
"72","090204000001026",1997,113,"7",46045074,90020276,NA
"73","090204000001042",1953,113,"7",45574176,91041674,NA
"74","090602000001000",1980,41,"7",45535964,88421451,0
"75","090602000001001",1949,41,"7",45554465,88513899,0
"76","090602000001002",1984,41,"6",45510817,88535237,0
"77","090602000001012",1982,41,"7",45522633,88410863,0
"78","090602000001015",1980,37,"6",45444038,88333827,0
"79","090602000001016",1982,41,"7",45474513,88452585,0
"80","090602000001020",1958,37,"7",45455861,88362007,0
"81","090602000001021",1963,41,"6",45593559,88514421,0
"82","090603000001004",1949,37,"6",45533642,88333013,0
"83","090604000001005",1982,83,"7",45162124,88281602,NA
"84","090604000001006",1957,83,"7",45074008,88320456,7
"85","090604000001017",1968,83,"7",45172688,88255628,0
"86","090604000001047",1960,83,"N",0,0,NA
"87","090605000001007",1977,41,"6",45342505,88284987,0
"88","090605000001009",1952,41,"7",45290017,88295215,0
"89","090605000001010",1949,41,"6",45334403,88294373,0
"90","090605000001011",1975,41,"6",45363888,88363888,0
"91","090605000001013",1980,41,"7",45253306,88280228,0
"92","090605000001014",1951,41,"6",45285088,88264351,40
"93","090605000001018",1968,41,"5",45364392,88263300,0
"94","090605000001023",2006,41,"N",0,0,45
"95","091301000001037",1961,99,"N",0,0,NA
"96","091301000003081",2001,99,"7",45580851,90180382,105
"97","091302000003070",2002,3,"8",46194044,91022076,NA
"98","091302000010814",2006,113,"8",46141302,90534704,NA
"99","091303000013222",2009,41,"7",45494836,88551236,NA
"100","B01000200000000",1975,1,"8",44010778,89561607,0
"101","B01000300000000",1981,1,"7",44031810,89500196,0
"102","B01000400000000",1984,1,"8",43594859,89450697,0
"103","B01000500000000",1984,1,"7",43594530,89493834,0
"104","B01000600000000",1984,1,"8",44050971,89471686,0
"105","B01000700000000",1986,1,"7",43590550,89442891,0
"106","B01000800000000",1986,1,"7",44015122,89445184,0
"107","B01000900000000",1988,1,"8",44001232,89441514,0
"108","B01001000000000",1990,1,"7",44031412,89461942,0
"109","B01001200000000",1988,1,"7",43493826,89511808,0
"110","B01001300000000",1959,1,"7",44025126,90011371,0
"111","B01001400000000",1989,1,"7",44084581,89415403,0
